Fecha publicación;CCAA;Dosis administradas;Porcentaje de dosis administradas por 100 habitantes;Personas con al menos una dosis;Personas con pauta completa;Porcentaje con pauta completa
06/05/2022;España;94485123;199,54;41209244;40439425;85,4
29/04/2022;España;94404832;199,37;41200263;40414329;85,35
22/04/2022;España;94295766;199,14;41188035;40375699;85,27
18/04/2022;España;94223806;198,99;41180591;40349823;85,21
08/04/2022;España;94130811;198,79;41167422;40292719;85,09
25/03/2022;España;93807121;198,11;41134037;40118474;84,72
18/03/2022;España;93571317;197,61;41112436;39976615;84,43
11/03/2022;España;93346089;197,13;41089269;39845453;84,15
04/03/2022;España;92774397;195,93;41083791;39103590;82,58
03/03/2022;España;92726740;195,83;41079854;39083122;82,54
02/03/2022;España;92679676;195,73;41076523;39062167;82,49
01/03/2022;España;92633158;195,63;41073324;39039472;82,45
28/02/2022;España;92591078;195,54;41069645;39022500;82,41
25/02/2022;España;92491319;195,33;41059268;38973675;82,31
24/02/2022;España;92371808;195,08;41034001;38929905;82,21
23/02/2022;España;92337963;195,01;41031519;38917445;82,19
22/02/2022;España;92237054;194,79;41027369;38856131;82,06
21/02/2022;España;92210830;194,74;41037784;38854296;82,05
18/02/2022;España;92121948;194,55;41030936;38834215;82,01
17/02/2022;España;92022504;194,34;41024149;38802554;81,95
16/02/2022;España;91716903;193,69;41016935;38391658;81,08
15/02/2022;España;91619525;193,49;41007734;38385465;81,06
14/02/2022;España;91571654;193,39;41002352;38382155;81,06
11/02/2022;España;91411886;193,05;40986943;38372822;81,04
10/02/2022;España;91316118;192,85;40978740;38366565;81,02
09/02/2022;España;91211425;192,63;40971209;38360610;81,01
08/02/2022;España;91101393;192,39;40965263;38351440;80,99
07/02/2022;España;90943374;192,06;40958312;38327784;80,94
04/02/2022;España;90715373;191,58;40942994;38316906;80,92
03/02/2022;España;90592858;191,32;40936086;38312156;80,91
02/02/2022;España;90449104;191,02;40927320;38305091;80,9
01/02/2022;España;90272896;190,64;40918884;38295449;80,87
31/01/2022;España;90135347;190,35;40911451;38289398;80,86
28/01/2022;España;89717860;189,47;40884275;38283540;80,85
27/01/2022;España;89508239;189,03;40868576;38275164;80,83
26/01/2022;España;89270072;188,53;40848444;38264820;80,81
25/01/2022;España;88984997;187,92;40824542;38253646;80,79
24/01/2022;España;88759314;187,45;40803369;38242161;80,76
21/01/2022;España;88348567;186,58;40750121;38227400;80,73
20/01/2022;España;88000590;185,85;40683950;38212331;80,7
19/01/2022;España;87645324;185,09;40532696;38201057;80,68
18/01/2022;España;87397175;184,57;40484286;38188108;80,65
17/01/2022;España;87153289;184,06;40437079;38173059;80,62
14/01/2022;España;86659109;183,01;40317861;38144506;80,56
13/01/2022;España;86326709;182,31;40240794;38125469;80,52
29/12/2021;España;86237508;182,12;39619870;37865247;79,97
12/01/2022;España;86024996;181,67;40181430;38108556;80,48
28/12/2021;España;85808023;181,21;39567127;37858971;79,95
11/01/2022;España;85731280;181,05;40118975;38093934;80,45
10/01/2022;España;85480089;180,52;40082392;38079025;80,42
27/12/2021;España;85443894;180,45;39511819;37853370;79,94
07/01/2022;España;84998187;179,5;39965876;38052240;80,36
23/12/2021;España;84868049;179,23;39405157;37832328;79,9
05/01/2022;España;84790916;179,07;39931922;38041112;80,34
22/12/2021;España;84521081;178,5;39270983;37815104;79,86
04/01/2022;España;84506437;178,47;39859995;38028178;80,31
03/01/2022;España;84250146;177,92;39807263;38016879;80,29
21/12/2021;España;83909129;177,2;39100658;37799170;79,83
30/12/2021;España;83529797;176,4;39664717;37869504;79,98
20/12/2021;España;83502561;176,35;39010695;37791863;79,81
17/12/2021;España;82518671;174,27;38607797;37777929;79,78
16/12/2021;España;82067448;173,32;38586398;37767016;79,76
15/12/2021;España;81695378;172,53;38567949;37755238;79,73
14/12/2021;España;81104962;171,28;38541413;37742102;79,71
13/12/2021;España;80647211;170,32;38514698;37721347;79,66
10/12/2021;España;77827910;164,36;38488342;37702839;79,62
09/12/2021;España;77653701;163,99;38465787;37684831;79,59
07/12/2021;España;77541843;163,76;38447301;37677168;79,57
03/12/2021;España;77157350;162,95;38409145;37655150;79,52
02/12/2021;España;76899564;162,4;38379778;37638438;79,49
01/12/2021;España;76680144;161,94;38356928;37624032;79,46
30/11/2021;España;76485574;161,53;38339403;37615143;79,44
29/11/2021;España;76123553;160,76;38299758;37586582;79,38
26/11/2021;España;76026523;160,56;38288327;37582174;79,37
25/11/2021;España;75573156;159,6;38281333;37578516;79,36
24/11/2021;España;75377077;159,19;38263801;37567042;79,34
23/11/2021;España;75173640;158,76;38249913;37557243;79,32
22/11/2021;España;74988489;158,37;38237469;37547526;79,3
19/11/2021;España;74683916;157,72;38209702;37519860;79,24
18/11/2021;España;74502145;157,34;38197655;37507587;79,21
17/11/2021;España;74168369;156,63;38177685;37487833;79,17
16/11/2021;España;74034325;156,35;38171026;37480526;79,15
15/11/2021;España;73886784;156,04;38164244;37474324;79,14
12/11/2021;España;73623626;155,48;38144625;37448743;79,09
11/11/2021;España;73347560;154,9;38130715;37431385;79,05
10/11/2021;España;73149785;154,48;38117778;37417377;79,02
08/11/2021;España;72805128;153,75;38100169;37398246;78,98
05/11/2021;España;72594573;153,31;38083061;37375642;78,93
04/11/2021;España;72410731;152,92;38071080;37360864;78,9
03/11/2021;España;72233182;152,55;38059705;37347287;78,87
02/11/2021;España;72058020;152,18;38037531;37317388;78,81
30/10/2021;España;71943760;151,94;38036436;37315511;78,81
28/10/2021;España;71779466;151,59;38013994;37282484;78,74
27/10/2021;España;71393601;150,77;37998740;37263047;78,69
26/10/2021;España;71366561;150,72;37988609;37250048;78,67
25/10/2021;España;71344477;150,67;37979234;37234272;78,63
22/10/2021;España;71275614;150,52;37954027;37199581;78,56
21/10/2021;España;71231804;150,43;37938819;37176352;78,51
20/10/2021;España;71102258;150,16;37908612;37102507;78,36
19/10/2021;España;71072261;150,09;37899559;37086628;78,32
18/10/2021;España;71048577;150,04;37891519;37074146;78,3
15/10/2021;España;70982052;149,9;37868453;37029165;78,2
14/10/2021;España;70919608;149,77;37846897;36994918;78,13
13/10/2021;España;70859558;149,65;37830132;36961165;78,06
11/10/2021;España;70822813;149,57;37816635;36937743;78,01
08/10/2021;España;70699744;149,31;37788299;36867685;77,86
07/10/2021;España;70646137;149,19;37772454;36832362;77,78
06/10/2021;España;70587034;149,07;37755682;36802767;77,72
05/10/2021;España;70279166;148,42;37741414;36771680;77,66
04/10/2021;España;70243260;148,34;37727757;36745965;77,6
01/10/2021;España;70153507;148,15;37702384;36667138;77,44
30/09/2021;España;70083821;148,01;37680085;36613575;77,32
29/09/2021;España;70022100;147,88;37657732;36566753;77,22
28/09/2021;España;69936755;147,7;37632058;36501799;77,09
27/09/2021;España;69867532;147,55;37612369;36447564;76,97
24/09/2021;España;69740837;147,28;37571186;36335711;76,74
23/09/2021;España;69642236;147,07;37538323;36259105;76,57
22/09/2021;España;69549078;146,88;37508658;36184677;76,42
21/09/2021;España;69427047;146,62;37472155;36086354;76,21
20/09/2021;España;69332829;146,42;37452529;36005546;76,04
17/09/2021;España;69094664;145,92;37385758;35784743;75,57
16/09/2021;España;68955191;145,62;37341455;35688441;75,37
15/09/2021;España;68820573;145,34;37303202;35571661;75,12
14/09/2021;España;68619581;144,92;37243220;35413078;74,79
13/09/2021;España;68486683;144,63;37216507;35300384;74,55
10/09/2021;España;68205694;144,04;37126744;35070311;74,06
09/09/2021;España;68002439;143,61;37067635;34903802;73,71
08/09/2021;España;67798496;143,18;37008271;34739745;73,37
07/09/2021;España;67385522;142,31;36889887;34418544;72,69
06/09/2021;España;67190707;141,9;36820586;34270593;72,37
03/09/2021;España;66788317;141,05;36696877;33940053;71,68
02/09/2021;España;66464730;140,36;36613696;33657941;71,08
01/09/2021;España;66130220;139,66;36533328;33376693;70,49
31/08/2021;España;65673013;138,69;36431416;32996436;69,68
30/08/2021;España;65444891;138,21;36346563;32811664;69,29
27/08/2021;España;65035990;137,35;36237517;32459380;68,55
26/08/2021;España;64714501;136,67;36111205;32239782;68,09
25/08/2021;España;64312970;135,82;35950365;31930874;67,43
24/08/2021;España;63938402;135,03;35831729;31653643;66,85
23/08/2021;España;63590985;134,3;35667383;31447188;66,41
20/08/2021;España;63090941;133,24;35442173;31096470;65,67
19/08/2021;España;62665513;132,34;35269276;30565129;64,55
18/08/2021;España;62193144;131,34;35072910;30261332;63,91
17/08/2021;España;61723171;130,35;34867478;29968303;63,29
16/08/2021;España;61418303;129,71;34716227;29794008;62,92
13/08/2021;España;60919867;128,65;34455543;29526380;62,36
12/08/2021;España;60449774;127,66;34196761;29221276;61,71
11/08/2021;España;59927147;126,56;33871458;28993301;61,23
10/08/2021;España;59429601;125,51;33575961;28768777;60,76
09/08/2021;España;59108679;124,83;33424529;28587458;60,37
06/08/2021;España;58542495;123,63;33141450;28255949;59,67
05/08/2021;España;58102441;122,7;32892680;28034427;59,2
04/08/2021;España;57653031;121,76;32650750;27811786;58,73
03/08/2021;España;57141754;120,68;32352818;27437503;57,94
02/08/2021;España;56795869;119,95;32169472;27262062;57,57
30/07/2021;España;56186601;118,66;31851618;26933847;56,88
29/07/2021;España;55713142;117,66;31592444;26694887;56,38
28/07/2021;España;55185352;116,54;31315140;26420097;55,8
27/07/2021;España;54617577;115,34;30996228;26151164;55,23
26/07/2021;España;54259325;114,59;30827932;25944318;54,79
23/07/2021;España;53449255;112,88;30500003;25398978;53,64
22/07/2021;España;52879267;111,67;30217311;25060958;52,93
21/07/2021;España;52293044;110,44;29956479;24700450;52,16
20/07/2021;España;51710022;109,2;29697691;24344008;51,41
19/07/2021;España;51229989;108,19;29484796;24041017;50,77
16/07/2021;España;50239048;106,1;29033376;23372796;49,36
15/07/2021;España;49585197;104,72;28759879;22949155;48,47
14/07/2021;España;48911460;103,29;28475900;22511734;47,54
13/07/2021;España;48315430;102,04;28216249;22139864;46,76
12/07/2021;España;47777316;100,9;27994332;21789996;46,02
09/07/2021;España;46612489;98,44;27534723;20999346;44,35
08/07/2021;España;45924484;96,99;27277127;20528505;43,35
07/07/2021;España;45233735;95,53;26996373;19982080;42,2
06/07/2021;España;44544324;94,07;26727529;19530228;41,25
05/07/2021;España;43959621;92,84;26505676;19135448;40,41
02/07/2021;España;42792983;90,37;25948237;18466362;39
01/07/2021;España;42027584;88,76;25627278;17990526;37,99
30/06/2021;España;41279995;87,18;25320606;17519587;37
29/06/2021;España;40565038;85,67;25007416;17088342;36,09
28/06/2021;España;39914204;84,29;24792784;16609913;35,08
25/06/2021;España;38808490;81,96;24325902;15894800;33,57
24/06/2021;España;38293871;80,87;24079429;15602526;32,95
23/06/2021;España;37560626;79,32;23772029;15138439;31,97
22/06/2021;España;36880086;77,89;23443444;14745736;31,14
21/06/2021;España;36357745;76,78;23200566;14431683;30,48
18/06/2021;España;35412140;74,79;22684911;13939564;29,44
17/06/2021;España;34845346;73,59;22365104;13641091;28,81
16/06/2021;España;34224523;72,28;22048919;13301010;28,09
15/06/2021;España;33632590;71,03;21713840;13007371;27,47
14/06/2021;España;33242768;70,2;21474788;12813055;27,06
11/06/2021;España;32282553;68,18;20963619;12250002;25,87
10/06/2021;España;31628321;66,79;20628061;11893951;25,12
09/06/2021;España;31004060;65,48;20305788;11552393;24,4
08/06/2021;España;30472862;64,35;20048174;11260175;23,78
07/06/2021;España;30007806;63,37;19786574;11002869;23,24
04/06/2021;España;28752570;60,72;19038135;10257209;21,66
03/06/2021;España;28182345;59,52;18720164;9979204;21,07
02/06/2021;España;27607247;58,3;18426204;9679187;20,44
01/06/2021;España;27119733;57,27;18178604;9405245;19,86
31/05/2021;España;26827637;56,66;18032417;9221285;19,47
28/05/2021;España;26133689;55,19;17707320;8804363;18,59
27/05/2021;España;25745178;54,37;17487591;8614678;18,19
26/05/2021;España;25280864;53,39;17187731;8434233;17,81
25/05/2021;España;24876302;52,54;16953205;8250814;17,42
24/05/2021;España;24534056;51,81;16709939;8130648;17,17
21/05/2021;España;23962365;50,61;16347683;7865313;16,61
20/05/2021;España;23503085;49,64;16049843;7697288;16,26
19/05/2021;España;22973955;48,52;15741247;7469173;15,77
18/05/2021;España;22587343;47,7;15495889;7323426;15,47
17/05/2021;España;22313088;47,12;15320846;7213716;15,23
14/05/2021;España;21683707;45,79;14911306;6976683;14,73
13/05/2021;España;21071940;44,5;14555552;6716156;14,18
12/05/2021;España;20623815;43,55;14318348;6502978;13,73
11/05/2021;España;20162661;42,58;14028954;6327447;13,36
10/05/2021;España;19830624;41,88;13797431;6221476;13,14
07/05/2021;España;19048132;40,23;13271511;5956451;12,58
06/05/2021;España;18489580;39,05;12966552;5696827;12,03
05/05/2021;España;17916566;37,84;12686341;5394315;11,39
04/05/2021;España;17430810;36,81;12381213;5202297;10,99
06/05/2022;Andalucía;17240810;203,25;7475689;7304086;86,11
29/04/2022;Andalucía;17228633;203,1;7474444;7300267;86,06
22/04/2022;Andalucía;17210840;202,89;7472541;7293963;85,99
18/04/2022;Andalucía;17195417;202,71;7471006;7287739;85,91
08/04/2022;Andalucía;17177942;202,51;7469358;7280355;85,83
03/05/2021;España;17130598;36,18;12162359;5098903;10,77
25/03/2022;Andalucía;17124305;201,87;7464002;7255322;85,53
18/03/2022;Andalucía;17080618;201,36;7460661;7230578;85,24
11/03/2022;Andalucía;17022563;200,67;7456819;7192798;84,79
04/03/2022;Andalucía;16880745;199;7451485;7061199;83,24
03/03/2022;Andalucía;16870856;198,89;7450970;7059356;83,22
02/03/2022;Andalucía;16859334;198,75;7450219;7055991;83,18
01/03/2022;Andalucía;16845992;198,59;7449268;7051434;83,13
28/02/2022;Andalucía;16844091;198,57;7449267;7051262;83,13
25/02/2022;Andalucía;16829996;198,4;7448526;7049262;83,1
23/02/2022;Andalucía;16798330;198,03;7446484;7040720;83
24/02/2022;Andalucía;16798330;198,03;7446484;7040720;83
22/02/2022;Andalucía;16780995;197,83;7445501;7035459;82,94
21/02/2022;Andalucía;16762469;197,61;7444500;7030553;82,88
18/02/2022;Andalucía;16740948;197,35;7443449;7028556;82,86
17/02/2022;Andalucía;16716468;197,07;7442406;7022050;82,78
16/02/2022;Andalucía;16629976;196,05;7441118;6914888;81,52
14/02/2022;Andalucía;16589450;195,57;7438329;6912793;81,49
15/02/2022;Andalucía;16589450;195,57;7438329;6912793;81,49
11/02/2022;Andalucía;16555306;195,17;7435431;6911543;81,48
10/02/2022;Andalucía;16529368;194,86;7433235;6910121;81,46
09/02/2022;Andalucía;16501361;194,53;7430821;6908936;81,45
08/02/2022;Andalucía;16469141;194,15;7429458;6907673;81,43
07/02/2022;Andalucía;16438368;193,79;7428402;6906515;81,42
04/02/2022;Andalucía;16390837;193,23;7426089;6905146;81,4
30/04/2021;España;16364595;34,56;11763360;4689766;9,9
03/02/2022;Andalucía;16348736;192,73;7424028;6903791;81,39
02/02/2022;Andalucía;16308402;192,25;7422078;6902319;81,37
01/02/2022;Andalucía;16266942;191,77;7419938;6900874;81,35
31/01/2022;Andalucía;16227056;191,3;7417854;6899282;81,33
28/01/2022;Andalucía;16072572;189,47;7413437;6897404;81,31
27/01/2022;Andalucía;16016524;188,81;7409327;6895758;81,29
26/01/2022;Andalucía;15952345;188,06;7404581;6893793;81,27
25/01/2022;Andalucía;15891849;187,34;7400113;6891689;81,24
29/04/2021;España;15859772;33,49;11520146;4413784;9,32
24/01/2022;Andalucía;15840593;186,74;7395405;6889724;81,22
21/01/2022;Andalucía;15758332;185,77;7387177;6888037;81,2
20/01/2022;Andalucía;15667669;184,7;7353122;6884941;81,16
19/01/2022;Andalucía;15499530;182,72;7236299;6881590;81,12
18/01/2022;Andalucía;15449686;182,13;7232174;6878901;81,09
17/01/2022;Andalucía;15404638;181,6;7228018;6876379;81,06
28/04/2021;España;15377862;32,48;11261171;4166758;8,8
14/01/2022;Andalucía;15351481;180,97;7222727;6874385;81,04
13/01/2022;Andalucía;15302273;180,39;7216921;6871252;81
12/01/2022;Andalucía;15252840;179,81;7210488;6868253;80,97
11/01/2022;Andalucía;15207515;179,28;7203820;6865579;80,94
10/01/2022;Andalucía;15165799;178,78;7197465;6862666;80,9
29/12/2021;Andalucía;15159602;178,71;7151112;6840041;80,64
07/01/2022;Andalucía;15125265;178,31;7187020;6860179;80,87
28/12/2021;Andalucía;15112320;178,15;7142695;6837429;80,6
05/01/2022;Andalucía;15099149;178;7183895;6858691;80,85
27/12/2021;Andalucía;15072090;177,68;7134829;6835120;80,58
04/01/2022;Andalucía;15062814;177,57;7177726;6856336;80,83
03/01/2022;Andalucía;15032548;177,21;7173040;6853856;80,8
23/12/2021;Andalucía;15019363;177,06;7121879;6830872;80,53
27/04/2021;España;14994667;31,67;11013911;4020945;8,49
30/12/2021;Andalucía;14985606;176,66;7159083;6840381;80,64
22/12/2021;Andalucía;14910598;175,78;7079079;6823190;80,44
21/12/2021;Andalucía;14910570;175,78;7079078;6823210;80,44
20/12/2021;Andalucía;14841399;174,96;7055276;6820453;80,4
26/04/2021;España;14715931;31,08;10796466;3947465;8,34
17/12/2021;Andalucía;14667274;172,91;6931016;6818248;80,38
16/12/2021;Andalucía;14604635;172,17;6927597;6815716;80,35
15/12/2021;Andalucía;14541406;171,42;6924132;6813257;80,32
14/12/2021;Andalucía;14461592;170,48;6919341;6808047;80,26
13/12/2021;Andalucía;14392728;169,67;6915735;6805502;80,23
23/04/2021;España;14266251;30,13;10405863;3862789;8,16
06/05/2022;Cataluña;14162171;184,99;6487908;6344295;82,87
29/04/2022;Cataluña;14146967;184,79;6486721;6341114;82,83
22/04/2022;Cataluña;14131148;184,59;6485380;6337476;82,78
18/04/2022;Cataluña;14120981;184,46;6484626;6334690;82,75
08/04/2022;Cataluña;14101505;184,2;6483196;6328682;82,67
25/03/2022;Cataluña;14047975;183,5;6479152;6301222;82,31
18/03/2022;Cataluña;14013079;183,05;6476938;6279312;82,02
11/03/2022;Cataluña;13981134;182,63;6474688;6260340;81,78
10/12/2021;Andalucía;13970155;164,69;6912829;6803132;80,2
09/12/2021;Andalucía;13944556;164,39;6909832;6799730;80,16
04/03/2022;Cataluña;13927888;181,93;6472044;6197564;80,96
07/12/2021;Andalucía;13927824;164,19;6906987;6797654;80,14
03/03/2022;Cataluña;13921792;181,85;6471552;6194989;80,92
02/03/2022;Cataluña;13915245;181,77;6471122;6191060;80,87
22/04/2021;España;13909964;29,38;10141949;3768015;7,96
01/03/2022;Cataluña;13908070;181,67;6470695;6187249;80,82
28/02/2022;Cataluña;13900980;181,58;6470271;6183054;80,77
03/12/2021;Andalucía;13900081;163,86;6903661;6795375;80,11
25/02/2022;Cataluña;13881591;181,33;6468935;6173909;80,65
24/02/2022;Cataluña;13872775;181,21;6468261;6169766;80,59
23/02/2022;Cataluña;13864481;181,1;6467678;6165856;80,54
21/02/2022;Cataluña;13851511;180,94;6466698;6159720;80,46
22/02/2022;Cataluña;13851511;180,94;6466698;6159720;80,46
18/02/2022;Cataluña;13835282;180,72;6464974;6152296;80,36
17/02/2022;Cataluña;13826068;180,6;6464187;6147876;80,31
02/12/2021;Andalucía;13811001;162,81;6895160;6788678;80,03
16/02/2022;Cataluña;13799980;180,26;6463468;6101609;79,7
15/02/2022;Cataluña;13793637;180,18;6462708;6100595;79,69
14/02/2022;Cataluña;13788167;180,11;6462060;6099641;79,68
01/12/2021;Andalucía;13777435;162,42;6891627;6786350;80
11/02/2022;Cataluña;13767127;179,83;6459566;6097004;79,64
10/02/2022;Cataluña;13757676;179,71;6458784;6095782;79,63
09/02/2022;Cataluña;13748989;179,6;6458076;6094760;79,61
30/11/2021;Andalucía;13743783;162,02;6888420;6784127;79,98
08/02/2022;Cataluña;13741328;179,5;6457256;6090761;79,56
07/02/2022;Cataluña;13733102;179,39;6456463;6090018;79,55
29/11/2021;Andalucía;13713831;161,67;6885527;6782104;79,95
04/02/2022;Cataluña;13709925;179,09;6454096;6087709;79,52
26/11/2021;Andalucía;13709454;161,62;6885171;6781817;79,95
03/02/2022;Cataluña;13700317;178,96;6453060;6086976;79,51
02/02/2022;Cataluña;13689066;178,81;6452102;6085934;79,5
01/02/2022;Cataluña;13678780;178,68;6451149;6082552;79,45
31/01/2022;Cataluña;13666149;178,51;6449958;6081558;79,44
25/11/2021;Andalucía;13649359;160,91;6884742;6781427;79,94
28/01/2022;Cataluña;13626549;178;6444353;6077983;79,39
24/11/2021;Andalucía;13609868;160,44;6881590;6778964;79,92
27/01/2022;Cataluña;13608143;177,76;6441972;6076125;79,37
26/01/2022;Cataluña;13590086;177,52;6438708;6074290;79,35
23/11/2021;Andalucía;13573770;160,02;6878837;6776720;79,89
25/01/2022;Cataluña;13569867;177,26;6435815;6072275;79,32
24/01/2022;Cataluña;13551453;177,02;6433369;6068996;79,28
22/11/2021;Andalucía;13544033;159,67;6876550;6775209;79,87
21/04/2021;España;13497809;28,51;9886203;3611606;7,63
21/01/2022;Cataluña;13486293;176,16;6423804;6065117;79,23
18/11/2021;Andalucía;13485538;158,98;6871390;6770042;79,81
19/11/2021;Andalucía;13485538;158,98;6871390;6770039;79,81
29/12/2021;Cataluña;13482456;176,11;6274586;5979971;78,11
17/11/2021;Andalucía;13451678;158,58;6868917;6767662;79,78
19/01/2022;Cataluña;13424669;175,36;6415898;6058901;79,14
20/01/2022;Cataluña;13424669;175,36;6415898;6058901;79,14
16/11/2021;Andalucía;13419568;158,2;6866794;6765579;79,76
28/12/2021;Cataluña;13402899;175,08;6260894;5977735;78,08
15/11/2021;Andalucía;13389067;157,84;6864839;6763703;79,74
18/01/2022;Cataluña;13385015;174,84;6410384;6055305;79,1
12/11/2021;Andalucía;13357417;157,47;6862495;6760605;79,7
17/01/2022;Cataluña;13351726;174,41;6405682;6052839;79,07
27/12/2021;Cataluña;13335828;174,2;6246559;5975994;78,06
11/11/2021;Andalucía;13322566;157,06;6860593;6758273;79,67
10/11/2021;Andalucía;13284724;156,61;6858720;6756131;79,65
14/01/2022;Cataluña;13250382;173,08;6387590;6041771;78,92
08/11/2021;Andalucía;13229714;155,96;6855610;6752567;79,6
23/12/2021;Cataluña;13213491;172,6;6225737;5967208;77,95
13/01/2022;Cataluña;13205924;172,5;6381343;6036603;78,85
05/11/2021;Andalucía;13199112;155,6;6852806;6749391;79,57
06/05/2022;Madrid;13178550;195,08;5761261;5691625;84,25
04/11/2021;Andalucía;13165415;155,2;6850787;6746584;79,53
12/01/2022;Cataluña;13164041;171,96;6375179;6032941;78,81
29/04/2022;Madrid;13160622;194,81;5759461;5687098;84,18
03/11/2021;Andalucía;13134592;154,84;6848946;6744085;79,5
22/04/2022;Madrid;13131341;194,38;5756103;5676958;84,03
11/01/2022;Cataluña;13120721;171,39;6367512;6028875;78,75
22/12/2021;Cataluña;13120713;171,39;6208207;5964249;77,91
18/04/2022;Madrid;13119277;194,2;5754960;5674003;83,99
02/11/2021;Andalucía;13108558;154,53;6847168;6742001;79,48
08/04/2022;Madrid;13095856;193,85;5752529;5666563;83,88
30/10/2021;Andalucía;13080966;154,21;6847168;6742001;79,48
10/01/2022;Cataluña;13080811;170,87;6360865;6025322;78,71
28/10/2021;Andalucía;13047168;153,81;6843321;6736604;79,42
20/04/2021;España;13041032;27,54;9588913;3452119;7,29
25/03/2022;Madrid;13023684;192,78;5746169;5619017;83,18
18/03/2022;Madrid;12985337;192,22;5743034;5602836;82,94
07/01/2022;Cataluña;12983342;169,59;6340530;6016579;78,59
05/01/2022;Cataluña;12957711;169,26;6336938;6013469;78,55
20/12/2021;Cataluña;12949433;169,15;6182032;5961124;77,87
21/12/2021;Cataluña;12949433;169,15;6182032;5961121;77,87
11/03/2022;Madrid;12944318;191,61;5739574;5580692;82,61
27/10/2021;Andalucía;12919521;152,3;6840955;6733541;79,38
26/10/2021;Andalucía;12915866;152,26;6839164;6731138;79,35
04/03/2022;Madrid;12915130;191,18;5758661;5467083;80,93
03/03/2022;Madrid;12912796;191,14;5758487;5464862;80,89
25/10/2021;Andalucía;12911991;152,22;6837216;6728587;79,32
04/01/2022;Cataluña;12910783;168,65;6324913;6010540;78,51
02/03/2022;Madrid;12909323;191,09;5758277;5461518;80,84
22/10/2021;Andalucía;12907388;152,16;6835126;6725458;79,28
01/03/2022;Madrid;12906112;191,04;5758003;5458475;80,8
28/02/2022;Madrid;12903175;191;5757728;5455713;80,76
21/10/2021;Andalucía;12901983;152,1;6832843;6721608;79,24
18/02/2022;Madrid;12869364;190,5;5754023;5427187;80,34
21/02/2022;Madrid;12869364;190,5;5754023;5427187;80,34
22/02/2022;Madrid;12869364;190,5;5754023;5427187;80,34
23/02/2022;Madrid;12869364;190,5;5754023;5427187;80,34
24/02/2022;Madrid;12869364;190,5;5754023;5427187;80,34
25/02/2022;Madrid;12869364;190,5;5754023;5427187;80,34
03/01/2022;Cataluña;12868000;168,09;6312001;6008529;78,49
17/02/2022;Madrid;12854104;190,27;5753238;5424381;80,29
19/04/2021;España;12853599;27,15;9441685;3411914;7,21
16/02/2022;Madrid;12822485;189,81;5752403;5380285;79,64
15/02/2022;Madrid;12810180;189,62;5751408;5379468;79,63
18/10/2021;Andalucía;12809353;151,01;6816142;6666861;78,59
19/10/2021;Andalucía;12809353;151,01;6816142;6666861;78,59
20/10/2021;Andalucía;12809353;151,01;6816142;6666861;78,59
15/10/2021;Andalucía;12802416;150,92;6813703;6662207;78,54
14/02/2022;Madrid;12797022;189,43;5750374;5378535;79,62
14/10/2021;Andalucía;12794052;150,83;6810880;6656939;78,48
13/10/2021;Andalucía;12783867;150,71;6807967;6649094;78,38
30/12/2021;Cataluña;12778823;166,92;6287830;5982727;78,15
11/10/2021;Andalucía;12777502;150,63;6805551;6644496;78,33
17/12/2021;Cataluña;12776998;166,9;6129507;5955250;77,79
08/10/2021;Andalucía;12768263;150,52;6802267;6625656;78,11
07/10/2021;Andalucía;12759527;150,42;6799161;6615499;77,99
11/02/2022;Madrid;12755815;188,82;5747331;5376877;79,59
06/10/2021;Andalucía;12750090;150,31;6795884;6610183;77,93
10/02/2022;Madrid;12739422;188,58;5746464;5375941;79,58
09/02/2022;Madrid;12722813;188,33;5745459;5375175;79,57
08/02/2022;Madrid;12704155;188,05;5744308;5374281;79,55
05/10/2021;Andalucía;12698328;149,7;6793030;6604559;77,86
04/10/2021;Andalucía;12689933;149,6;6790195;6599046;77,79
16/12/2021;Cataluña;12686201;165,71;6122659;5952795;77,76
01/10/2021;Andalucía;12678195;149,46;6786554;6591019;77,7
07/02/2022;Madrid;12669396;187,54;5743236;5373099;79,54
30/09/2021;Andalucía;12663662;149,29;6781839;6581390;77,59
29/09/2021;Andalucía;12651702;149,15;6777366;6573906;77,5
28/09/2021;Andalucía;12640462;149,01;6773142;6566913;77,42
27/09/2021;Andalucía;12626160;148,85;6768994;6556961;77,3
24/09/2021;Andalucía;12611727;148,68;6763269;6545627;77,16
04/02/2022;Madrid;12597804;186,48;5738277;5370532;79,5
03/02/2022;Madrid;12597794;186,48;5738276;5370563;79,5
15/12/2021;Cataluña;12595436;164,53;6116356;5950267;77,73
23/09/2021;Andalucía;12594366;148,47;6757099;6531551;77
22/09/2021;Andalucía;12576598;148,26;6750003;6517694;76,84
02/02/2022;Madrid;12572790;186,11;5737056;5369674;79,48
01/02/2022;Madrid;12547632;185,74;5735128;5368501;79,47
21/09/2021;Andalucía;12542936;147,86;6737407;6490348;76,51
20/09/2021;Andalucía;12542898;147,86;6737370;6490340;76,51
31/01/2022;Madrid;12520399;185,33;5733545;5367316;79,45
14/12/2021;Cataluña;12512686;163,45;6109809;5948349;77,7
17/09/2021;Andalucía;12511703;147,5;6728143;6463863;76,2
16/09/2021;Andalucía;12485606;147,19;6718892;6457423;76,12
15/09/2021;Andalucía;12453918;146,82;6708894;6430584;75,81
28/01/2022;Madrid;12451568;184,31;5726748;5364966;79,41
